苏州电信外网,#genre#
CCTV1HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.19:9614
CCTV2HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.50:9802
CCTV3HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.28:8000
CCTV4HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.51:9806
CCTV5HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.29:8000
CCTV6HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.73:8000
CCTV7HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.126:8000
CCTV8HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.79:8000
CCTV9HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.53:9814
CCTV10HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.54:9818
CCTV11HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.127:8000
CCTV12HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.55:9822
CCTV13HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.109:8000
CCTV14HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.56:9826
CCTV音乐HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.128:8000
CCTV16HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.31:8000
CCTV17HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.52:9810
CCTV5HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.18:9610
CCTV164K（SDR）,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.109:8000
CGTN俄语HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.111:8000
江苏卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.16:9602
江苏城市HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.107:8000
江苏综艺HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.108:8000
江苏体育休闲HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.117:8000
江苏影视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.118:8000
优漫卡通HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.119:8000
好享购物HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.121:8000
江苏教育HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.122:8000
广西卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.10:8000
天津卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.35:8620
浙江卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.20:9618
重庆卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.57:9830
环球购物HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.123:8000
辽宁卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.48:8000
海南卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.83:8000
四川卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.110:8000
江西卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.111:8000
东南卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.112:8000
吉林卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.113:8000
河北卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.114:8000
东方卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.17:9606
北京卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.11:9414
湖南卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.12:9418
广东卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.13:9422
黑龙江卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.14:9426
深圳卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.15:9430
云南卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.177:8000
山东卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.7:9306
CETV1HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.115:8000
贵州卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.49:8000
安徽卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.80:8000
湖北卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.8:9632
CETV4HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.125:8000
河南卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.29:8000
三沙卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.167:8000
甘肃卫视HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.250:8000
金鹰纪实HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.79:8000
电视指南HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.84:8000
风云足球HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.85:8000
