央视频道,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8

CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV-4欧洲,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000350/index.m3u8
CCTV-4美洲,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000351/index.m3u8

CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8



CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8


CETV-3,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001309/index.m3u9?virtualDomain=yinhe.live_hls.zte.com

CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8

CETV-1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8


CETV-1,http://115.171.216.54:4000/udp/225.1.8.32:8152
CETV-2,http://115.171.216.54:4000/udp/225.1.8.193:4120
CETV-3,http://115.171.216.54:4000/udp/225.1.8.194:4120
CETV-4,http://115.171.216.54:4000/udp/225.1.8.195:4120

CCTV-4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8

CCTV央视台球,http://183.184.209.52:8003/rtp/226.0.2.216:9640$(山西太原1)
CCTV高尔夫网球,http://183.184.209.52:8003/rtp/226.0.2.217:9648$(山西太原1)
CCTV电视指南,http://183.184.209.52:8003/rtp/226.0.2.218:9656$(山西太原1)
CCTV央视文化精品,http://183.184.209.52:8003/rtp/226.0.2.219:9664$(山西太原1)
CCTV风云音乐,http://183.184.209.52:8003/rtp/226.0.2.220:9672$(山西太原1)
CCTV第一剧场,http://183.184.209.52:8003/rtp/226.0.2.221:9680$(山西太原1)
CCTV世界地理,http://183.184.209.52:8003/rtp/226.0.2.222:9688$(山西太原1)
CCTV兵器科技,http://183.184.209.52:8003/rtp/226.0.2.223:9696$(山西太原1)
CCTV怀旧剧场,http://183.184.209.52:8003/rtp/226.0.2.224:9704$(山西太原1)
CCTV风云足球,http://183.184.209.52:8003/rtp/226.0.2.225:9712$(山西太原1)
CCTV女性时尚,http://183.184.209.52:8003/rtp/226.0.2.226:9720$(山西太原1)
CCTV风云剧场,http://183.184.209.52:8003/rtp/226.0.2.227:9728$(山西太原1)

CCTV央视台球,http://183.184.209.52:8001/rtp/226.0.2.216:9640$(山西太原2)
CCTV高尔夫网球,http://183.184.209.52:8001/rtp/226.0.2.217:9648$(山西太原2)
CCTV电视指南,http://183.184.209.52:8001/rtp/226.0.2.218:9656$(山西太原2)
CCTV央视文化精品,http://183.184.209.52:8001/rtp/226.0.2.219:9664$(山西太原2)
CCTV风云音乐,http://183.184.209.52:8001/rtp/226.0.2.220:9672$(山西太原2)
CCTV第一剧场,http://183.184.209.52:8001/rtp/226.0.2.221:9680$(山西太原2)
CCTV世界地理,http://183.184.209.52:8001/rtp/226.0.2.222:9688$(山西太原2)
CCTV兵器科技,http://183.184.209.52:8001/rtp/226.0.2.223:9696$(山西太原2)
CCTV怀旧剧场,http://183.184.209.52:8001/rtp/226.0.2.224:9704$(山西太原2)
CCTV风云足球,http://183.184.209.52:8001/rtp/226.0.2.225:9712$(山西太原2)
CCTV女性时尚,http://183.184.209.52:8001/rtp/226.0.2.226:9720$(山西太原2)
CCTV风云剧场,http://183.184.209.52:8001/rtp/226.0.2.227:9728$(山西太原2)

CCTV央视台球,http://183.185.40.47:8085/rtp/226.0.2.216:9640$(山西太原3)
CCTV高尔夫网球,http://183.185.40.47:8085/rtp/226.0.2.217:9648$(山西太原3)
CCTV电视指南,http://183.185.40.47:8085/rtp/226.0.2.218:9656$(山西太原3)
CCTV央视文化精品,http://183.185.40.47:8085/rtp/226.0.2.219:9664$(山西太原3)
CCTV风云音乐,http://183.185.40.47:8085/rtp/226.0.2.220:9672$(山西太原3)
CCTV第一剧场,http://183.185.40.47:8085/rtp/226.0.2.221:9680$(山西太原3)
CCTV世界地理,http://183.185.40.47:8085/rtp/226.0.2.222:9688$(山西太原3)
CCTV兵器科技,http://183.185.40.47:8085/rtp/226.0.2.223:9696$(山西太原3)
CCTV怀旧剧场,http://183.185.40.47:8085/rtp/226.0.2.224:9704$(山西太原3)
CCTV风云足球,http://183.185.40.47:8085/rtp/226.0.2.225:9712$(山西太原3)
CCTV女性时尚,http://183.185.40.47:8085/rtp/226.0.2.226:9720$(山西太原3)
CCTV风云剧场,http://183.185.40.47:8085/rtp/226.0.2.227:9728$(山西太原3)

CCTV央视台球,http://183.185.112.224:8082/rtp/226.0.2.216:9640$(山西太原4)
CCTV高尔夫网球,http://183.185.112.224:8082/rtp/226.0.2.217:9648$(山西太原4)
CCTV电视指南,http://183.185.112.224:8082/rtp/226.0.2.218:9656$(山西太原4)
