广东电信组播👉,#genre#
梅州综合高清,http://192.168.110.2:5555/rtp/239.253.43.123:5146
梅州生活高清,http://192.168.110.2:5555/rtp/239.253.43.124:5146
潮州综合高清,http://192.168.110.2:5555/rtp/239.253.43.70:5146
潮州民生高清,http://192.168.110.2:5555/rtp/239.253.43.75:5146
汕头新闻综合高清,http://192.168.110.2:5555/rtp/239.253.43.45:5146
汕头经济生活高清,http://192.168.110.2:5555/rtp/239.253.43.46:5146
汕头文旅体育高清,http://192.168.110.2:5555/rtp/239.253.43.47:5146
揭阳综合高清,http://192.168.110.2:5555/rtp/239.77.0.229:5146
揭阳生活高清,http://192.168.110.2:5555/rtp/239.77.0.251:5146
河源综合高清,http://192.168.110.2:5555/rtp/239.253.43.213:5146
河源公共高清,http://192.168.110.2:5555/rtp/239.253.43.214:5146
惠州-1高清,http://192.168.110.2:5555/rtp/239.77.1.232:5146
惠州-2高清,http://192.168.110.2:5555/rtp/239.77.1.233:5146
珠江超清,http://192.168.110.2:5555/rtp/239.77.0.114:5146
珠江高清,http://192.168.110.2:5555/rtp/239.77.0.1:5146
广东经济科教超清,http://192.168.110.2:5555/rtp/239.77.0.167:5146
广东经济科教高清,http://192.168.110.2:5555/rtp/239.77.0.85:5146
广东体育超清,http://192.168.110.2:5555/rtp/239.77.0.168:5146
广东体育高清,http://192.168.110.2:5555/rtp/239.77.0.112:5146
南国都市4K,http://192.168.110.2:5555/rtp/239.253.43.99:5146
广东新闻高清,http://192.168.110.2:5555/rtp/239.77.0.173:5146
广东民生高清,http://192.168.110.2:5555/rtp/239.77.0.225:5146
广东影视高清,http://192.168.110.2:5555/rtp/239.77.0.217:5146
广东综艺4K超清,http://192.168.110.2:5555/rtp/239.77.0.244:5146
岭南戏曲,http://192.168.110.2:5555/rtp/239.77.0.16:5146
大湾区卫视高清,http://192.168.110.2:5555/rtp/239.77.0.215:5146
深圳都市高清,http://192.168.110.2:5555/rtp/239.77.1.124:5146
深圳体育健康高清,http://192.168.110.2:5555/rtp/239.77.1.140:5146
深圳电视剧高清,http://192.168.110.2:5555/rtp/239.77.1.125:5146
深圳创众高清,http://192.168.110.2:5555/rtp/239.77.1.247:5146
深圳龙岗高清,http://192.168.110.2:5555/rtp/239.77.1.223:5146
深圳东部高清(信号故障),http://192.168.110.2:5555/rtp/239.77.1.224:5146
深圳宝安高清,http://192.168.110.2:5555/rtp/239.77.1.67:5146
深圳公共高清,http://192.168.110.2:5555/rtp/239.77.1.126:5146
深圳娱乐高清,http://192.168.110.2:5555/rtp/239.77.1.243:5146
深圳财经高清,http://192.168.110.2:5555/rtp/239.77.1.242:5146
深圳少儿高清,http://192.168.110.2:5555/rtp/239.77.1.244:5146
深圳宜和购物高清,http://192.168.110.2:5555/rtp/239.77.1.87:5146
深圳宝安第一课标清,http://192.168.110.2:5555/rtp/239.77.1.225:5146
深圳移动标清,http://192.168.110.2:5555/rtp/239.77.1.175:5146
广州综合高清,http://192.168.110.2:5555/rtp/239.253.43.71:5146
广州新闻高清,http://192.168.110.2:5555/rtp/239.253.43.72:5146
广州影视高清,http://192.168.110.2:5555/rtp/239.253.43.73:5146
广州法治高清,http://192.168.110.2:5555/rtp/239.253.43.74:5146
