央视频道,#genre#
CCTV高尔夫网球,http://220.176.218.147:9000/rtp/239.252.219.95:5140
CCTV-1 综合,http://39.134.65.208/PLTV/88888888/224/3221225816/main.m3u8
CCTV-1 综合,http://39.134.65.208/PLTV/88888888/224/3221226119/main.m3u8
CCTV-1 综合,http://39.134.66.66/PLTV/88888888/224/3221225816/main.m3u8
CCTV-1 综合,http://39.134.66.66/PLTV/88888888/224/3221226119/main.m3u8
CCTV-2 财经,http://39.134.65.208/PLTV/88888888/224/3221225599/main.m3u8
CCTV-2 财经,http://39.134.66.66/PLTV/88888888/224/3221225599/main.m3u8
CCTV-3 综艺,http://39.134.65.208/PLTV/88888888/224/3221225799/main.m3u8
CCTV-4 中文国际,http://39.134.65.208/PLTV/88888888/224/3221226092/main.m3u8
CCTV-4 中文国际,http://39.134.65.208/PLTV/88888888/224/3221225797/main.m3u8
CCTV-5 体育,http://39.134.65.208/PLTV/88888888/224/3221225818/main.m3u8
CCTV-5 体育,http://39.134.66.66/PLTV/88888888/224/3221225635/main.m3u8
CCTV-5+ 体育赛事,http://39.134.65.208/PLTV/88888888/224/3221225507/main.m3u8
CCTV-5+ 体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/main.m3u8
CCTV-6 电影,http://39.134.65.208/PLTV/88888888/224/3221225814/main.m3u8
CCTV-7 国防军事,http://39.134.65.208/PLTV/88888888/224/3221225671/main.m3u8
CCTV-7 国防军事,http://39.134.66.66/PLTV/88888888/224/3221225671/main.m3u8
CCTV-8 电视剧,http://39.134.65.208/PLTV/88888888/224/3221225795/main.m3u8
CCTV-9 纪录,http://39.134.65.208/PLTV/88888888/224/3221225676/main.m3u8
CCTV-9 纪录,http://39.134.66.66/PLTV/88888888/224/3221225676/main.m3u8
CCTV-10 科教,http://39.134.65.208/PLTV/88888888/224/3221225677/main.m3u8
CCTV-10 科教,http://39.134.66.66/PLTV/88888888/224/3221225677/main.m3u8
CCTV-11 戏曲,http://39.134.65.208/PLTV/88888888/224/3221225517/main.m3u8
CCTV-11 戏曲,http://39.134.66.66/PLTV/88888888/224/3221226123/main.m3u8
CCTV-12 社会与法,http://39.134.65.208/PLTV/88888888/224/3221225669/main.m3u8
CCTV-12 社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/main.m3u8
CCTV-12 社会与法,http://39.134.66.66/PLTV/88888888/224/3221226130/main.m3u8
CCTV-13 新闻,http://39.134.65.208/PLTV/88888888/224/3221225812/main.m3u8
CCTV-13 新闻,http://39.134.65.208/PLTV/88888888/224/3221226077/main.m3u8
CCTV-13 新闻,http://39.134.66.66/PLTV/88888888/224/3221225812/main.m3u8
CCTV-14 少儿,http://39.134.65.208/PLTV/88888888/224/3221225674/main.m3u8
CCTV-14 少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/main.m3u8
CCTV-14 少儿,http://39.134.66.66/PLTV/88888888/224/3221226132/main.m3u8
CCTV-15 音乐,http://39.134.65.208/PLTV/88888888/224/3221225513/main.m3u8
CCTV-15 音乐,http://39.134.66.66/PLTV/88888888/224/3221226127/main.m3u8
CCTV-16 奥林匹克,http://39.134.65.208/PLTV/88888888/224/3221225893/main.m3u8
CCTV-17 农业农村,http://39.134.65.208/PLTV/88888888/224/3221225708/main.m3u8
CGTN Documentary,http://39.134.66.66/PLTV/88888888/224/3221225509/main.m3u8
CGTN 英语,http://39.134.65.208/PLTV/88888888/224/3221225510/main.m3u8
教育1台,http://39.134.65.208/PLTV/88888888/224/3221225563/main.m3u8
教育1台,http://39.134.66.66/PLTV/88888888/224/3221225563/main.m3u8
教育4台,http://39.134.65.208/PLTV/88888888/224/3221225750/main.m3u8
精彩节目,#genre#
精品体育,http://39.134.66.66/PLTV/88888888/224/3221225526/main.m3u8
爱情喜剧,http://39.134.66.66/PLTV/88888888/224/3221225533/main.m3u8
超级电视剧,http://39.134.65.208/PLTV/88888888/224/3221225637/main.m3u8
超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/main.m3u8
超级电影,http://39.134.65.208/PLTV/88888888/224/3221225644/main.m3u8
超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/main.m3u8
超级综艺,http://39.134.65.208/PLTV/88888888/224/3221225642/main.m3u8
超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/main.m3u8
潮妈辣婆,http://39.134.66.66/PLTV/88888888/224/3221225542/main.m3u8
哒啵赛事,http://39.134.66.66/PLTV/88888888/224/3221225559/main.m3u8
东北热剧,http://39.134.65.208/PLTV/88888888/224/3221225679/main.m3u8
古装喜剧,http://39.134.66.66/PLTV/88888888/224/3221225524/main.m3u8
黑莓电影,http://39.134.65.208/PLTV/88888888/224/3221225681/main.m3u8
黑莓动画,http://39.134.65.208/PLTV/88888888/224/3221225529/main.m3u8
欢乐剧场,http://39.134.65.208/PLTV/88888888/224/3221225682/main.m3u8
家庭剧场,http://39.134.66.66/PLTV/88888888/224/3221225538/main.m3u8
金牌综艺,http://39.134.65.208/PLTV/88888888/224/3221225525/main.m3u8
金牌综艺,http://39.134.66.66/PLTV/88888888/224/3221225525/main.m3u8
精品大剧,http://39.134.66.66/PLTV/88888888/224/3221225536/main.m3u8
精品记录,http://39.134.66.66/PLTV/88888888/224/3221225545/main.m3u8
军旅剧场,http://39.134.66.66/PLTV/88888888/224/3221225560/main.m3u8
军事评论,http://39.134.66.66/PLTV/88888888/224/3221225535/main.m3u8
明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/main.m3u8
CCTV.COM,http://39.134.66.66/PLTV/88888888/224/3221225547/main.m3u8
炫舞未来,http://39.134.66.66/PLTV/88888888/224/3221225646/main.m3u8
怡伴健康,http://39.134.66.66/PLTV/88888888/224/3221225571/main.m3u8
剧场,http://39.134.66.66/PLTV/88888888/224/3221225521/main.m3u8
优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/main.m3u8
中国功夫,http://39.134.66.66/PLTV/88888888/224/3221225604/main.m3u8
卫视频道,#genre#
安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/main.m3u8
安徽卫视,http://39.134.65.208/PLTV/88888888/224/3221225923/main.m3u8
安徽卫视,http://39.134.65.208/PLTV/88888888/224/3221225925/main.m3u8
北京卫视,http://39.134.65.208/PLTV/88888888/224/3221225678/main.m3u8
北京卫视,http://39.134.65.208/PLTV/88888888/224/3221225927/main.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225927/main.m3u8
兵团卫视,http://39.134.65.208/PLTV/88888888/224/3221226005/main.m3u8
东方卫视,http://39.134.65.208/PLTV/88888888/224/3221225672/main.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/main.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/main.m3u8
广东卫视,http://39.134.65.208/PLTV/88888888/224/3221225966/main.m3u8
广西卫视,http://39.134.65.208/PLTV/88888888/224/3221226024/main.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/main.m3u8
海南卫视,http://39.134.65.208/PLTV/88888888/224/3221226026/main.m3u8
河北卫视,http://39.134.65.208/PLTV/88888888/224/3221225991/main.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/main.m3u8
黑龙江卫视,http://39.134.65.208/PLTV/88888888/224/3221225985/main.m3u8
黑龙江卫视,http://39.134.65.208/PLTV/88888888/224/3221226006/main.m3u8
湖北卫视,http://39.134.65.208/PLTV/88888888/224/3221225975/main.m3u8
湖北卫视,http://39.134.65.208/PLTV/88888888/224/3221226015/main.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/main.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221226015/main.m3u8
湖南卫视,http://39.134.65.208/PLTV/88888888/224/3221225506/main.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/main.m3u8
吉林卫视,http://39.134.65.208/PLTV/88888888/224/3221225981/main.m3u8
吉林卫视,http://39.134.65.208/PLTV/88888888/224/3221226013/main.m3u8
江苏卫视,http://39.134.65.208/PLTV/88888888/224/3221225503/main.m3u8
江苏卫视,http://39.134.65.208/PLTV/88888888/224/3221225929/main.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/main.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225938/main.m3u8
江西卫视,http://39.134.65.208/PLTV/88888888/224/3221225995/main.m3u8
康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/main.m3u8
辽宁卫视,http://39.134.65.208/PLTV/88888888/224/3221225499/main.m3u8
辽宁卫视,http://39.134.65.208/PLTV/88888888/224/3221225944/main.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/main.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221226089/main.m3u8
内蒙古卫视,http://39.134.65.208/PLTV/88888888/224/3221226017/main.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/main.m3u8
宁夏卫视,http://39.134.65.208/PLTV/88888888/224/3221226028/main.m3u8
青海卫视,http://39.134.65.208/PLTV/88888888/224/3221225948/main.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/main.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/main.m3u8
山西卫视,http://39.134.65.208/PLTV/88888888/224/3221226009/main.m3u8
陕西卫视,http://39.134.65.208/PLTV/88888888/224/3221225989/main.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/main.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/main.m3u8
四川卫视,http://39.134.65.208/PLTV/88888888/224/3221225970/main.m3u8
四川卫视,http://39.134.65.208/PLTV/88888888/224/3221226014/main.m3u8
天津卫视,http://39.134.65.208/PLTV/88888888/224/3221225972/main.m3u8
天津卫视,http://39.134.65.208/PLTV/88888888/224/3221226003/main.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/main.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/main.m3u8
延边卫视,http://39.134.65.208/PLTV/88888888/224/3221226040/main.m3u8
延边卫视,http://39.134.66.66/PLTV/88888888/224/3221226040/main.m3u8
浙江卫视,http://39.134.65.208/PLTV/88888888/224/3221225514/main.m3u8
浙江卫视,http://39.134.65.208/PLTV/88888888/224/3221225959/main.m3u8
浙江卫视,http://39.134.65.208/PLTV/88888888/224/3221225982/main.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/main.m3u8
重庆卫视,http://39.134.65.208/PLTV/88888888/224/3221226001/main.m3u8
北京少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/main.m3u8
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/main.m3u8
新闻综合1,http://39.134.65.208/PLTV/88888888/224/3221226041/main.m3u8
农业致富,http://39.134.66.66/PLTV/88888888/224/3221225552/main.m3u8
齐齐哈尔经济法制,http://39.134.65.208/PLTV/88888888/224/3221226097/main.m3u8
齐齐哈尔经济法制,http://39.134.66.66/PLTV/88888888/224/3221226097/main.m3u8
齐齐哈尔新闻综合,http://39.134.65.208/PLTV/88888888/224/3221226037/main.m3u8
哈尔滨生活,http://39.134.65.208/PLTV/88888888/224/3221226095/main.m3u8
哈尔滨新闻综合,http://39.134.66.66/PLTV/88888888/224/3221226110/main.m3u8
黑龙江都市,http://39.134.65.208/PLTV/88888888/224/3221225969/main.m3u8
黑龙江都市,http://39.134.65.208/PLTV/88888888/224/3221225990/main.m3u8
黑龙江农业科教,http://39.134.65.208/PLTV/88888888/224/3221225994/main.m3u8
黑龙江农业科教,http://39.134.65.208/PLTV/88888888/224/3221225998/main.m3u8
黑龙江少儿,http://39.134.65.208/PLTV/88888888/224/3221225979/main.m3u8
黑龙江少儿,http://39.134.65.208/PLTV/88888888/224/3221226002/main.m3u8
黑龙江文体,http://39.134.65.208/PLTV/88888888/224/3221225965/main.m3u8
黑龙江文体,http://39.134.65.208/PLTV/88888888/224/3221226012/main.m3u8
黑龙江新闻法制,http://39.134.65.208/PLTV/88888888/224/3221225967/main.m3u8
黑龙江新闻法制,http://39.134.65.208/PLTV/88888888/224/3221225992/main.m3u8
黑龙江影视,http://39.134.65.208/PLTV/88888888/224/3221225971/main.m3u8
黑龙江影视,http://39.134.65.208/PLTV/88888888/224/3221225973/main.m3u8
鸡西安全生活,http://39.134.66.66/PLTV/88888888/224/3221226050/main.m3u8
